bounds,GT_AHNSUB
"(104000, 392500, 105000, 393750)",50AZ1_05
"(100000, 391250, 101000, 392500)",50AZ1_06
"(101000, 391250, 102000, 392500)",50AZ1_07
"(102000, 391250, 103000, 392500)",50AZ1_08
"(103000, 391250, 104000, 392500)",50AZ1_09
"(104000, 391250, 105000, 392500)",50AZ1_10
"(100000, 390000, 101000, 391250)",50AZ1_11
"(101000, 390000, 102000, 391250)",50AZ1_12
"(102000, 390000, 103000, 391250)",50AZ1_13
"(103000, 390000, 104000, 391250)",50AZ1_14
"(104000, 390000, 105000, 391250)",50AZ1_15
"(100000, 388750, 101000, 390000)",50AZ1_16
"(101000, 388750, 102000, 390000)",50AZ1_17
"(102000, 388750, 103000, 390000)",50AZ1_18
"(103000, 388750, 104000, 390000)",50AZ1_19
"(104000, 388750, 105000, 390000)",50AZ1_20
"(100000, 387500, 101000, 388750)",50AZ1_21
"(101000, 387500, 102000, 388750)",50AZ1_22
"(102000, 387500, 103000, 388750)",50AZ1_23
"(103000, 387500, 104000, 388750)",50AZ1_24
"(104000, 387500, 105000, 388750)",50AZ1_25
"(100000, 367500, 101000, 368750)",56AZ1_01
"(101000, 367500, 102000, 368750)",56AZ1_02
"(102000, 367500, 103000, 368750)",56AZ1_03
"(103000, 367500, 104000, 368750)",56AZ1_04
"(104000, 367500, 105000, 368750)",56AZ1_05
"(100000, 366250, 101000, 367500)",56AZ1_06
"(101000, 366250, 102000, 367500)",56AZ1_07
"(102000, 366250, 103000, 367500)",56AZ1_08
"(103000, 366250, 104000, 367500)",56AZ1_09
"(104000, 366250, 105000, 367500)",56AZ1_10
"(100000, 365000, 101000, 366250)",56AZ1_11
"(101000, 365000, 102000, 366250)",56AZ1_12
"(102000, 365000, 103000, 366250)",56AZ1_13
"(103000, 365000, 104000, 366250)",56AZ1_14
"(104000, 365000, 105000, 366250)",56AZ1_15
"(100000, 363750, 101000, 365000)",56AZ1_16
"(101000, 363750, 102000, 365000)",56AZ1_17
"(102000, 363750, 103000, 365000)",56AZ1_18
"(103000, 363750, 104000, 365000)",56AZ1_19
"(104000, 363750, 105000, 365000)",56AZ1_20
"(100000, 362500, 101000, 363750)",56AZ1_21
"(101000, 362500, 102000, 363750)",56AZ1_22
"(102000, 362500, 103000, 363750)",56AZ1_23
"(103000, 362500, 104000, 363750)",56AZ1_24
"(104000, 362500, 105000, 363750)",56AZ1_25
"(122000, 591250, 123000, 592500)",04EZ1_08
"(123000, 591250, 124000, 592500)",04EZ1_09
"(124000, 591250, 125000, 592500)",04EZ1_10
"(122000, 590000, 123000, 591250)",04EZ1_13
"(123000, 590000, 124000, 591250)",04EZ1_14
"(124000, 590000, 125000, 591250)",04EZ1_15
"(122000, 588750, 123000, 590000)",04EZ1_18
"(123000, 588750, 124000, 590000)",04EZ1_19
"(124000, 588750, 125000, 590000)",04EZ1_20
"(122000, 587500, 123000, 588750)",04EZ1_23
"(123000, 587500, 124000, 588750)",04EZ1_24
"(124000, 587500, 125000, 588750)",04EZ1_25
"(120000, 567500, 121000, 568750)",09EZ1_01
"(121000, 567500, 122000, 568750)",09EZ1_02
"(122000, 567500, 123000, 568750)",09EZ1_03
"(123000, 567500, 124000, 568750)",09EZ1_04
"(124000, 567500, 125000, 568750)",09EZ1_05
"(120000, 566250, 121000, 567500)",09EZ1_06
"(121000, 566250, 122000, 567500)",09EZ1_07
"(122000, 566250, 123000, 567500)",09EZ1_08
"(123000, 566250, 124000, 567500)",09EZ1_09
"(124000, 566250, 125000, 567500)",09EZ1_10
"(120000, 565000, 121000, 566250)",09EZ1_11
"(121000, 565000, 122000, 566250)",09EZ1_12
"(122000, 565000, 123000, 566250)",09EZ1_13
"(123000, 565000, 124000, 566250)",09EZ1_14
"(124000, 565000, 125000, 566250)",09EZ1_15
"(120000, 563750, 121000, 565000)",09EZ1_16
"(121000, 563750, 122000, 565000)",09EZ1_17
"(122000, 563750, 123000, 565000)",09EZ1_18
"(123000, 563750, 124000, 565000)",09EZ1_19
"(124000, 563750, 125000, 565000)",09EZ1_20
"(120000, 562500, 121000, 563750)",09EZ1_21
"(121000, 562500, 122000, 563750)",09EZ1_22
"(122000, 562500, 123000, 563750)",09EZ1_23
"(123000, 562500, 124000, 563750)",09EZ1_24
"(124000, 562500, 125000, 563750)",09EZ1_25
"(120000, 542500, 121000, 543750)",14EZ1_01
"(121000, 542500, 122000, 543750)",14EZ1_02
"(122000, 542500, 123000, 543750)",14EZ1_03
"(123000, 542500, 124000, 543750)",14EZ1_04
"(124000, 542500, 125000, 543750)",14EZ1_05
"(120000, 541250, 121000, 542500)",14EZ1_06
"(121000, 541250, 122000, 542500)",14EZ1_07
"(122000, 541250, 123000, 542500)",14EZ1_08
"(123000, 541250, 124000, 542500)",14EZ1_09
"(124000, 541250, 125000, 542500)",14EZ1_10
"(120000, 540000, 121000, 541250)",14EZ1_11
"(121000, 540000, 122000, 541250)",14EZ1_12
"(122000, 540000, 123000, 541250)",14EZ1_13
"(123000, 540000, 124000, 541250)",14EZ1_14
"(124000, 540000, 125000, 541250)",14EZ1_15
"(120000, 538750, 121000, 540000)",14EZ1_16
"(121000, 538750, 122000, 540000)",14EZ1_17
"(122000, 538750, 123000, 540000)",14EZ1_18
"(123000, 538750, 124000, 540000)",14EZ1_19
"(124000, 538750, 125000, 540000)",14EZ1_20
"(120000, 537500, 121000, 538750)",14EZ1_21
"(121000, 537500, 122000, 538750)",14EZ1_22
"(122000, 537500, 123000, 538750)",14EZ1_23
"(123000, 537500, 124000, 538750)",14EZ1_24
"(124000, 537500, 125000, 538750)",14EZ1_25
"(120000, 517500, 121000, 518750)",19EZ1_01
"(121000, 517500, 122000, 518750)",19EZ1_02
"(122000, 517500, 123000, 518750)",19EZ1_03
"(123000, 517500, 124000, 518750)",19EZ1_04
"(124000, 517500, 125000, 518750)",19EZ1_05
"(120000, 516250, 121000, 517500)",19EZ1_06
"(121000, 516250, 122000, 517500)",19EZ1_07
"(122000, 516250, 123000, 517500)",19EZ1_08
"(123000, 516250, 124000, 517500)",19EZ1_09
"(124000, 516250, 125000, 517500)",19EZ1_10
"(120000, 515000, 121000, 516250)",19EZ1_11
"(121000, 515000, 122000, 516250)",19EZ1_12
"(122000, 515000, 123000, 516250)",19EZ1_13
"(123000, 515000, 124000, 516250)",19EZ1_14
"(124000, 515000, 125000, 516250)",19EZ1_15
"(120000, 513750, 121000, 515000)",19EZ1_16
"(121000, 513750, 122000, 515000)",19EZ1_17
"(122000, 513750, 123000, 515000)",19EZ1_18
"(123000, 513750, 124000, 515000)",19EZ1_19
"(124000, 513750, 125000, 515000)",19EZ1_20
"(120000, 512500, 121000, 513750)",19EZ1_21
"(121000, 512500, 122000, 513750)",19EZ1_22
"(122000, 512500, 123000, 513750)",19EZ1_23
"(123000, 512500, 124000, 513750)",19EZ1_24
"(124000, 512500, 125000, 513750)",19EZ1_25
"(120000, 492500, 121000, 493750)",25EZ1_01
"(121000, 492500, 122000, 493750)",25EZ1_02
